area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,Ready To Move,Manayata Tech Park,independent,1200.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,Kaval Byrasandra,abncy r,1200.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,1150.0,2,1,55.0,3,0
Built-up  Area,Ready To Move,Basavanna Nagar,itala a,1645.0,3,2,95.0,3,0
Super built-up  Area,20-Mar,Sarjapur  Road,independent,1000.0,2,1,67.0,2,0
Plot  Area,Ready To Move,Haralur Road,independent,2650.0,4,2,198.0,4,1
Super built-up  Area,Ready To Move,6th Phase JP Nagar,hminebo,1192.0,2,2,74.0,2,0
Super built-up  Area,Ready To Move,Ulsoor,k borja,2135.0,3,2,215.0,3,0
Super built-up  Area,19-Dec,Whitefield,oreldhi,1173.0,2,1,58.0,2,0
Built-up  Area,Ready To Move,Uttarahalli,sungspr,1020.0,2,2,45.0,2,0
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,3122.0,6,2,230.0,4,0
Super built-up  Area,Ready To Move,Somasundara Palya,independent,1600.0,3,3,64.0,3,0
Plot  Area,18-Mar,T.C PALYA,independent,1200.0,2,0,79.0,2,1
Carpet  Area,Ready To Move,Muneshwara Nagar,independent,1230.0,2,3,48.0,2,0
Super built-up  Area,Ready To Move, Devarachikkanahalli,clntsrt,1250.0,2,2,40.0,2,0
Super built-up  Area,Ready To Move,Kalena Agrahara,puamapa,1325.0,2,2,76.0,2,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,brngsal,1850.0,3,1,150.0,3,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,525.0,1,0,21.53,1,0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,independent,1200.0,2,2,65.0,2,0
Plot  Area,Ready To Move,Bull Temple Road,independent,1350.0,2,0,140.0,3,1
Super built-up  Area,18-Jun,Bommasandra,ssestth,1260.0,3,1,49.36,3,0
Super built-up  Area,Ready To Move,Prashanth Nagar,vancy r,1800.0,3,0,150.0,3,0
Plot  Area,18-Dec,Suragajakkanahalli,prhyak ,11.0,3,2,74.0,3,1
Built-up  Area,Ready To Move,Ardendale,miwel m,1100.0,2,1,43.25,2,0
Super built-up  Area,Ready To Move,Harlur,srendpo,1508.0,2,1,77.0,2,0
Carpet  Area,Ready To Move,Sampigehalli,puens g,1592.0,3,2,75.0,3,0
Super built-up  Area,Ready To Move,Akshaya Nagar,sagassa,1388.0,2,3,57.0,2,0
Super built-up  Area,18-May,Electronic City Phase II,snbay g,630.0,1,1,28.35,1,0
Plot  Area,Ready To Move,RMV,independent,2000.0,3,2,365.0,3,1
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,independent,1762.0,3,1,125.0,3,0
Super built-up  Area,21-Dec,Bagalur Main Road,independent,950.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Kodihalli,soianal,3252.0,5,3,335.0,4,0
Super built-up  Area,18-Aug,Magadi Road,vrenty ,1116.0,2,1,50.0,2,0
Super built-up  Area,Ready To Move,Narayanapura,arioshe,1308.0,2,2,89.04,2,0
Super built-up  Area,Ready To Move,MS Pallya,independent,1200.0,3,0,90.0,3,0
Plot  Area,Ready To Move,Binny Mills Employees Colony,independent,1500.0,4,2,230.0,4,1
Built-up  Area,Ready To Move,Bannerghatta Road,independent,500.0,1,1,18.5,1,0
Super built-up  Area,Ready To Move,Hennur,sluresi,1075.0,2,1,52.0,2,0
Super built-up  Area,18-Mar,Chandapura,siissi ,530.0,1,0,11.66,1,0
Built-up  Area,Ready To Move,Bellandur,independent,1205.0,2,3,66.0,2,0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,mangsr ,1075.0,2,2,60.0,2,0
Built-up  Area,Ready To Move,KR Puram,hovaste,930.0,2,2,39.0,2,0
Super built-up  Area,Ready To Move,Balagere,exncene,1380.0,2,1,60.0,2,0
Super built-up  Area,Ready To Move,Hebbal,prersis,2483.0,5,2,212.0,4,0
Built-up  Area,Ready To Move,Kodigehaali,shyas s,1166.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,Bannerghatta Road,nadelci,1050.0,2,1,65.0,2,0
Super built-up  Area,19-Mar,Gopalapura,sothadr,2023.71,3,2,275.0,3,0
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200.0,2,2,46.8,2,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,puarent,1600.0,2,1,108.0,3,0
Super built-up  Area,Ready To Move,Billekahalli,maionpa,1935.0,3,2,110.0,3,0
Super built-up  Area,18-May,8th Phase JP Nagar,maian m,451.0,1,0,29.9,1,0
Super built-up  Area,Ready To Move,Electronic City,shstaal,1800.0,3,2,95.0,3,0
Super built-up  Area,18-May,Jalahalli,shard t,1400.0,3,0,77.0,3,0
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,1801.0,3,2,115.0,3,0
Built-up  Area,Ready To Move,Mahadevpura,neagar ,1451.0,2,0,90.0,2,0
Plot  Area,19-Jan,Anekal,independent,1200.0,1,1,36.0,2,1
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1160.0,2,2,44.0,2,0
Built-up  Area,Ready To Move,Kengeri,independent,1000.0,2,1,25.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,wiowsri,950.0,2,1,40.0,2,0
Built-up  Area,20-Dec,"Hoodi Circle, ",independent,1629.0,3,2,79.0,3,0
Built-up  Area,Ready To Move,Vijayanagar,independent,1580.0,2,0,134.0,3,0
Super built-up  Area,21-Jun,Vijayanagar,saityat,1826.0,3,2,121.0,3,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1245.0,2,1,94.0,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,lancyey,1145.0,2,2,45.79,2,0
Super built-up  Area,Ready To Move,Sompura,suiseit,825.0,2,1,33.0,2,0
Super built-up  Area,18-Aug,Yeshwanthpur,aroomba,1693.0,3,3,108.0,3,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,courf t,1113.27,2,2,53.0,2,0
Built-up  Area,Ready To Move,Ashirvad Colony,vmowsea,1460.0,2,1,58.0,2,0
Built-up  Area,Ready To Move,Doddathoguru,s onsma,1050.0,2,1,32.0,2,0
Built-up  Area,Ready To Move,Dodda Nekkundi,tuentpa,1260.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,K N Extension,independent,700.0,3,0,120.0,6,0
Built-up  Area,Ready To Move,Hosur Road,tovesee,1656.0,2,1,120.0,2,0
Super built-up  Area,Ready To Move,Chandapura,vailsaf,1208.0,3,1,45.0,3,0
Super built-up  Area,Ready To Move,Whitefield,brlisco,1910.0,3,2,161.0,3,0
Super built-up  Area,Ready To Move,Whitefield,haestt ,3252.0,4,1,230.0,4,0
Plot  Area,Ready To Move,Battarahalli,independent,1200.0,2,1,65.0,2,1
Super built-up  Area,Ready To Move,Gokula Extension,independent,1200.0,4,1,175.0,4,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,1175.0,2,1,82.0,2,0
Plot  Area,Ready To Move,Kamakshipalya,independent,1000.0,2,0,165.0,2,1
Plot  Area,Ready To Move,Bannerghatta Road,independent,1200.0,2,0,125.0,4,1
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2390.0,3,2,410.0,3,0
Plot  Area,Ready To Move,Sultan Palaya,independent,550.0,1,1,62.0,2,1
Super built-up  Area,Ready To Move,Kengeri,independent,370.92,1,0,18.5,1,0
Super built-up  Area,Ready To Move,Sanne Amanikere,hoxiaa ,1185.0,2,0,38.0,2,0
Super built-up  Area,Ready To Move,Kengeri,vbvenal,750.0,2,1,38.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1550.0,3,3,64.5,3,0
Built-up  Area,Ready To Move,Amco Colony,hoeatan,1760.0,3,2,88.0,3,0
Super built-up  Area,Ready To Move,Billekahalli,asity s,1125.0,2,2,62.0,2,0
Plot  Area,Ready To Move,Nagarbhavi,independent,1350.0,3,2,150.0,3,1
Plot  Area,17-Dec,Anandapura,independent,1000.0,2,1,55.0,2,1
Built-up  Area,18-Aug,Bommasandra Industrial Area,independent,1090.0,2,2,31.48,2,0
Plot  Area,Ready To Move,TC Palaya,independent,1200.0,2,0,60.0,2,1
Super built-up  Area,Ready To Move,Budigere,pritytr,1991.0,4,2,103.0,3,0
Super built-up  Area,18-Oct,Bommasandra,dsoodil,1060.0,2,1,26.5,2,0
Super built-up  Area,Ready To Move,Ambalipura,sjarkte,1105.0,2,1,75.0,2,0
Built-up  Area,Ready To Move,Hoodi,dhgraas,985.0,2,2,67.0,2,0
Plot  Area,Ready To Move,Chandapura,independent,1533.0,5,3,85.0,6,1
Super built-up  Area,17-Jul,Balagere,hiquema,1590.0,3,2,79.0,3,0
Super built-up  Area,Ready To Move,CV Raman Nagar,srshq t,1120.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,Samethanahalli,spontna,1069.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,Marathahalli,prionad,1933.0,3,2,140.0,3,0
Built-up  Area,16-Mar,Hosur Road,puendwe,1194.0,2,0,69.0,2,0
Super built-up  Area,Ready To Move,Brookefield,danna s,1150.0,2,3,69.0,2,0
Super built-up  Area,Ready To Move,Yelenahalli,independent,1240.0,2,2,47.12,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1419.0,2,2,48.1,2,0
Super built-up  Area,Ready To Move,Richmond Town,bltonin,2150.0,4,0,240.0,3,0
Super built-up  Area,Ready To Move,Suddaguntepalya,msanaer,1450.0,3,2,55.0,3,0
Super built-up  Area,18-Jul,Udayapur Village,plowsri,1630.0,3,2,68.29,3,0
Super built-up  Area,Ready To Move,Dasanapura,tavenew,708.0,1,1,40.0,2,0
Plot  Area,Ready To Move,Kasavanhalli,independent,1000.0,4,3,110.0,3,1
Super built-up  Area,Ready To Move,Bellandur,ocavees,1250.0,2,1,76.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1400.0,2,1,95.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1670.0,2,3,57.0,3,0
Super built-up  Area,Ready To Move,Ardendale,soystam,1750.0,3,2,100.0,3,0
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404.0,2,1,71.0,2,0
Super built-up  Area,Ready To Move,Hoodi,smaxyay,1715.0,2,2,95.0,3,0
Built-up  Area,18-Apr,Electronic City,prarkun,630.0,1,1,34.65,1,0
Super built-up  Area,Ready To Move,Harlur,sosiccl,1752.12,3,2,135.0,3,0
Super built-up  Area,Ready To Move,Hulimavu,independent,1650.0,3,2,78.0,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1295.0,2,1,55.47,2,0
Plot  Area,Ready To Move,Giri Nagar,bancyri,1800.0,3,2,252.0,3,1
Super built-up  Area,18-Sep,Sarjapur  Road,pualesk,1346.0,2,1,74.03,2,0
Plot  Area,Ready To Move,Thippasandra,independent,1200.0,4,2,200.0,4,1
Super built-up  Area,Ready To Move,Hormavu,elavuho,1150.0,2,2,55.0,2,0
Built-up  Area,Ready To Move,Chikkabidarakallu,gontyol,3309.0,4,3,325.0,4,1
Super built-up  Area,18-May,Chandapura,suncees,1190.0,2,2,30.35,3,0
Super built-up  Area,Ready To Move,AECS Layout,dsutyng,1620.0,3,2,98.0,3,0
Super built-up  Area,18-Apr,Marathahalli,independent,950.0,2,1,46.96,2,0
Super built-up  Area,Ready To Move,Harlur,srendpo,2450.0,3,0,120.0,3,0
Super built-up  Area,18-May,Electronic City Phase II,sryalan,1220.0,2,1,35.23,3,0
Super built-up  Area,Ready To Move,Hoysalanagar,rkntsrt,850.0,2,1,30.0,2,0
Built-up  Area,Ready To Move,Padmanabhanagar,independent,1020.0,2,2,63.0,2,0
Built-up  Area,Ready To Move,Chikkalasandra,independent,1100.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Defence Colony,vantspa,1150.0,2,2,126.0,2,0
Super built-up  Area,18-Dec,Hebbal,mahosya,1760.0,2,2,130.0,3,0
Super built-up  Area,Ready To Move,Ambalipura,independent,1800.0,3,3,110.0,3,0
Super built-up  Area,Ready To Move,Akshaya Nagar,independent,1070.0,2,1,54.0,2,0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,independent,1500.0,4,2,220.0,4,1
Plot  Area,Ready To Move,Vidyaranyapura,independent,1440.0,2,0,95.0,2,1
Super built-up  Area,Ready To Move,Amruthahalli,prowsi ,900.0,2,1,40.0,2,0
Built-up  Area,Ready To Move,ITI Employees Layout,independent,1200.0,4,1,230.0,4,0
Super built-up  Area,18-May,Whitefield,smuilan,1130.0,2,1,42.16,2,0
Super built-up  Area,Ready To Move,Koramangala,proodt ,1320.0,2,1,165.0,2,0
Super built-up  Area,19-Jun,Kodigehalli,independent,1270.0,2,1,98.0,2,0
Built-up  Area,Ready To Move,Patelappa Layout,sryamar,1200.0,2,1,62.0,2,0
Super built-up  Area,Ready To Move,NS Palya,independent,1200.0,2,1,74.0,2,0
Super built-up  Area,Ready To Move,Subramanyapura,prldsri,929.0,2,0,50.17,2,0
Built-up  Area,Ready To Move,RMV 2nd Stage,liaveen,1150.0,4,2,260.0,4,0
Plot  Area,Ready To Move,Basavangudi,independent,1125.0,4,3,180.0,4,1
Plot  Area,Ready To Move,Kenchenahalli,independent,500.0,3,2,65.0,5,1
Plot  Area,Ready To Move,3rd Block Hrbr Layout,bemesrm,1200.0,5,2,190.0,5,1
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,independent,1464.0,3,2,56.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,independent,3600.0,4,3,400.0,4,0
Plot  Area,Ready To Move,Bank Avenue,independent,2000.0,4,2,99.0,4,1
Super built-up  Area,Ready To Move,Chikkalasandra,independent,1208.0,2,1,49.0,2,0
Super built-up  Area,Ready To Move,Hebbal Kempapura,vrensn ,1130.0,2,2,60.0,2,0
Super built-up  Area,Ready To Move,Surabhi Layout,vddonel,1753.0,3,2,120.0,3,0
Plot  Area,Ready To Move,Banjara Layout,independent,600.0,3,2,58.0,3,1
Super built-up  Area,22-Jun,Hoodi,goairej,1196.0,2,2,94.42,2,0
Built-up  Area,Ready To Move,5th Phase JP Nagar,prenty ,1150.0,3,3,52.5,2,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1128.0,2,1,63.0,2,0
Super built-up  Area,Ready To Move,Omkar Nagar,shinei ,1000.0,2,1,53.0,2,0
Super built-up  Area,Ready To Move,Yelahanka,apows m,1035.0,2,1,45.0,2,0
Built-up  Area,Ready To Move,Kereguddadahalli,independent,950.0,2,1,32.0,2,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075.0,2,1,36.0,3,0
Super built-up  Area,Ready To Move,Whitefield,svineun,1040.0,2,1,48.5,2,0
Plot  Area,17-Oct,Maragondanahalli,independent,720.0,2,1,45.0,2,1
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1511.0,3,1,95.0,3,0
Built-up  Area,Ready To Move,Silk Board,independent,1300.0,3,1,58.0,3,0
Super built-up  Area,19-Dec,Hoodi,caycend,1545.0,3,1,68.75,3,0
Built-up  Area,Ready To Move,Shampura,independent,375.0,2,0,26.0,1,0
Super built-up  Area,Ready To Move,Vidyaranyapura,independent,1062.0,2,3,38.0,2,0
Super built-up  Area,Ready To Move,Kada Agrahara,independent,1115.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,JP Nagar,dsvvyx ,1000.0,2,1,35.0,2,0
Super built-up  Area,17-May,Kambipura,prrtht ,883.0,2,1,45.0,2,0
Super built-up  Area,19-Apr,Sarjapur  Road,brareio,1195.0,2,1,70.0,2,0
Plot  Area,Ready To Move,BHEL Layout,independent,1200.0,3,1,165.0,4,1
Built-up  Area,Ready To Move,Medahalli,independent,700.0,1,0,41.0,1,1
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1246.0,2,1,67.0,2,0
Plot  Area,Ready To Move,8th Phase JP Nagar,independent,660.0,4,2,90.0,4,1
Super built-up  Area,Ready To Move,Kashi Nagar,independent,1600.0,4,1,80.0,4,0
Super built-up  Area,18-Dec,Haralur Road,snnia e,2805.0,5,3,154.0,4,0
Super built-up  Area,Ready To Move,Begur Road,independent,1584.0,3,0,65.0,3,0
Plot  Area,Ready To Move,Sector 7 HSR Layout,independent,3000.0,5,1,275.0,4,1
Built-up  Area,Ready To Move,Hosur Road,independent,1175.0,2,2,48.0,3,0
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",independent,1595.0,3,2,115.0,3,0
Super built-up  Area,Ready To Move,VHBCS Layout,olarkla,1353.0,2,2,110.0,2,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1599.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Whitefield,sumtbpr,1150.0,2,1,70.0,2,0
Super built-up  Area,Ready To Move,KR Puram,jahidva,1155.0,2,2,42.74,2,0
Built-up  Area,Ready To Move,Ittamadu,independent,1200.0,2,0,85.0,1,0
Super built-up  Area,18-Jul,Electronic City Phase II,independent,1000.0,2,1,25.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,independent,3000.0,4,0,120.0,4,0
Built-up  Area,Ready To Move,Rajiv Nagar,puoodsk,1867.0,3,1,160.0,3,0
Super built-up  Area,18-Jun,Ramagondanahalli,viistla,1251.0,2,1,47.0,2,0
Super built-up  Area,18-Apr,Gattahalli,arano m,1028.0,2,1,45.5,2,0
Super built-up  Area,Ready To Move,Arekere,amngsag,1222.0,2,2,45.0,2,0
Super built-up  Area,Ready To Move,Bannerghatta Road,snity s,1170.0,2,1,66.0,3,0
Super built-up  Area,Ready To Move,Hebbal,kacesh ,2400.0,4,1,245.0,3,0
Super built-up  Area,Ready To Move,Ramanjaneyanagar,independent,1385.0,2,2,48.48,3,0
Super built-up  Area,Ready To Move,HSR Layout,srisepo,1372.0,2,1,68.0,2,0
Super built-up  Area,Ready To Move,Magadi Road,bilya a,1282.0,2,2,49.0,3,0
Super built-up  Area,Ready To Move,Kanakpura Road,shdhia ,1135.0,2,1,39.73,2,0
Built-up  Area,20-Dec,Whitefield,independent,1768.0,3,2,101.0,3,0
Built-up  Area,Ready To Move,Byatarayanapura,foconna,1325.0,2,1,90.0,3,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1599.0,3,2,99.0,3,0
Plot  Area,18-Mar,Whitefield,independent,1500.0,3,1,61.95,3,1
Plot  Area,Ready To Move,2nd Phase JP Nagar,independent,2610.0,3,0,499.0,3,1
Super built-up  Area,Ready To Move,Uttarahalli,independent,1286.0,2,2,63.0,2,0
Built-up  Area,Ready To Move,Kammanahalli,independent,2845.0,5,1,140.0,5,0
Super built-up  Area,Ready To Move,K G Colony,aincy r,1600.0,2,0,50.0,3,0
Super built-up  Area,18-Sep,Hennur Road,shxorm ,1317.5,2,0,63.77,2,0
Super built-up  Area,Ready To Move,Hebbal,brium c,3450.0,5,2,260.0,3,0
Super built-up  Area,18-Apr,Munnekollal,sadhii ,1102.0,2,2,53.67,2,0
Super built-up  Area,Ready To Move,Yelahanka,sahanra,1350.0,2,2,54.0,2,0
Super built-up  Area,Ready To Move,Banashankari,independent,1200.0,2,2,42.0,3,0
Plot  Area,Ready To Move,Hosa Road,independent,1300.0,6,0,145.0,6,1
Plot  Area,Ready To Move,Herohalli,independent,1800.0,1,1,80.0,2,1
Built-up  Area,Ready To Move,Chikkabanavar,independent,950.0,2,1,40.0,2,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,525.0,1,1,27.25,1,0
Built-up  Area,Ready To Move,Attibele,jae 2hu,656.0,2,1,25.0,2,0
Plot  Area,Ready To Move,Marathahalli,independent,1780.0,4,3,175.0,4,1
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,icncy r,1056.0,2,1,80.0,2,0
Super built-up  Area,21-Feb,Bannerghatta Road,hiatei ,595.0,1,1,33.32,1,0
Built-up  Area,Ready To Move,Ittamadu,independent,1080.0,2,2,50.0,2,0
Super built-up  Area,19-Dec,7th Phase JP Nagar,puarero,2225.0,3,1,160.0,3,0
Super built-up  Area,18-Aug,Bommasandra,dsoodil,1126.0,2,1,28.15,2,0
Super built-up  Area,Ready To Move,Electronics City Phase 1,gaicave,1490.0,3,1,84.0,3,0
Plot  Area,Ready To Move,HRBR Layout,independent,2000.0,4,1,300.0,4,1
Super built-up  Area,Ready To Move,Sarjapur  Road,puinesu,1550.0,3,3,100.0,3,0
Built-up  Area,Ready To Move,Ashwini layout,independent,1160.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,supleon,2100.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404.0,2,1,69.3,2,0
Plot  Area,Ready To Move,Sarjapur  Road,lgestbo,2230.0,4,3,225.0,4,1
Super built-up  Area,Ready To Move,Marathalli bridge,independent,1544.0,3,0,120.0,3,0
Super built-up  Area,18-May,Banashankari Stage III,pridsi ,1305.0,2,1,58.7,3,0
Super built-up  Area,Ready To Move,Marathahalli,aahts h,1230.0,2,2,80.0,2,0
Plot  Area,Ready To Move,T.C PALYA,independent,1200.0,2,0,65.0,2,1
Super built-up  Area,Ready To Move,Harlur,independent,1460.0,3,1,73.0,3,0
Plot  Area,Ready To Move,Sarjapur  Road,asiss b,1800.0,3,0,34.18,3,0
Built-up  Area,Ready To Move,Gottigere,independent,967.0,2,3,45.0,2,0
Built-up  Area,Ready To Move,Byatarayanapura,independent,540.0,1,1,36.0,1,1
Super built-up  Area,19-Dec,Hormavu,kolisl ,715.0,1,2,46.0,1,0
Super built-up  Area,Ready To Move,Whitefield,toindls,2500.0,3,2,313.0,3,0
Super built-up  Area,Ready To Move,Dooravani Nagar,puceswn,1578.0,3,1,180.0,3,0
Super built-up  Area,Ready To Move,Mysore Road,independent,1020.0,2,1,48.95,2,0
Super built-up  Area,Ready To Move,Jigani,i1odsne,1020.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,Koramangala,ansna k,1253.0,2,1,102.0,2,0
Super built-up  Area,Ready To Move,JCR Layout,arnamru,1180.0,2,2,42.0,2,0
Super built-up  Area,Ready To Move,Nehru Nagar,veyalin,961.0,2,2,38.0,2,0
Built-up  Area,Ready To Move,Kanakapura,independent,1419.0,3,3,75.0,3,0
Super built-up  Area,Ready To Move,Harlur,somonci,1709.0,3,2,150.0,3,0
Plot  Area,Ready To Move,Papareddipalya,independent,1600.0,2,0,115.0,2,1
Super built-up  Area,18-Jul,Venkatapura,independent,416.0,1,1,18.5,1,0
Carpet  Area,Ready To Move,Sanjay nagar,independent,1100.0,2,2,98.0,2,0
Super built-up  Area,Ready To Move,HSR Layout,independent,1430.0,2,1,65.0,3,0
Super built-up  Area,Ready To Move,Sneha Colony,daill s,1260.0,2,2,45.0,2,0
Built-up  Area,Ready To Move,RMV Extension,dsuresi,1630.0,3,2,85.0,3,0
Super built-up  Area,19-May,Sarjapur  Road,soini t,1249.0,3,2,44.71,3,0
Super built-up  Area,Ready To Move,Kalena Agrahara,mancyre,1450.0,2,3,85.0,3,0
Super built-up  Area,17-Nov,Konanakunte,prasa w,2791.0,3,1,223.0,3,0
Super built-up  Area,Ready To Move,Hosapalya,independent,600.0,1,0,90.0,1,0
Built-up  Area,Ready To Move,Ashwini layout,kaantth,834.0,1,1,60.0,1,0
Plot  Area,Ready To Move,Doddagubbi,independent,1125.0,4,1,70.0,3,1
Super built-up  Area,Ready To Move,Arekere,independent,2060.0,3,2,140.0,3,0
Built-up  Area,Ready To Move,Gottigere,drente ,891.0,2,1,25.0,2,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1133.0,2,1,49.07,2,0
Built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075.0,2,1,37.0,3,0
Super built-up  Area,18-May,Sector 6 HSR Layout,independent,3000.0,5,2,260.0,4,0
Plot  Area,Ready To Move,Brookefield,independent,2440.0,5,2,425.0,4,1
Built-up  Area,Ready To Move,Vidyaranyapura,independent,1200.0,2,2,55.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,independent,1075.0,2,2,45.8,2,0
Super built-up  Area,Ready To Move,Kaggadasapura,independent,1140.0,2,2,40.0,2,0
Plot  Area,Ready To Move,Margondanahalli,independent,940.0,4,2,150.0,5,1
Plot  Area,Ready To Move,ITI Layout,independent,2160.0,5,1,250.0,6,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,sgandea,1090.0,2,1,42.0,2,0
Built-up  Area,Ready To Move,R.T. Nagar,independent,1500.0,4,1,70.0,4,1
Super built-up  Area,Ready To Move,Whitefield,independent,1790.0,3,0,100.0,3,0
Super built-up  Area,18-Dec,Hebbal,mahosya,1920.0,3,2,134.0,3,0
Built-up  Area,Ready To Move,HRBR Layout,eline p,1374.0,2,2,95.0,2,0
Carpet  Area,Ready To Move,Bannerghatta Road,independent,1445.0,3,2,95.0,3,0
Super built-up  Area,19-Dec,Kanakapura,goityet,711.0,1,1,36.0,1,0
Super built-up  Area,Ready To Move,Tumkur Road,sosonga,1500.0,3,3,95.0,3,0
Super built-up  Area,Ready To Move,Whitefield,gotis a,1720.0,3,3,100.0,3,0
Super built-up  Area,Ready To Move,Vasanthapura,independent,1400.0,3,2,60.0,3,0
Built-up  Area,Ready To Move,Kundalahalli,independent,1030.0,2,2,49.0,2,0
Super built-up  Area,Ready To Move,Mysore Road,prntaen,1200.0,2,1,85.0,2,0
Carpet  Area,18-Jul,Hosahalli,nsezebr,1375.0,3,2,70.0,3,0
Plot  Area,Ready To Move,Hegde Nagar,independent,1050.0,1,0,56.0,2,1
Super built-up  Area,Ready To Move,Jalahalli,tahtsla,2250.0,3,2,160.0,3,0
Super built-up  Area,Ready To Move,Bellandur,sronda ,1000.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Jalahalli West,prntsax,469.0,1,0,25.0,1,0
Super built-up  Area,Ready To Move,Marathahalli,puerari,3800.0,4,3,250.0,4,0
